kind,id,name,group,review,count,candidate,备注,reason,source
designed-template,template://journalcollage/digital-y2k-ascii,Digital Y2K ASCII,digital-y2k,free,2,Premium candidate,复核模板是否包含付费素材,完整风格模板作为内容订阅价值,generated/template-recipes/digital-y2k-ascii.template.json
designed-template,template://journalcollage/digital-y2k-multi,Digital Y2K Multi,digital-y2k,Premium,16,Premium candidate,,完整风格模板作为内容订阅价值,generated/template-recipes/digital-y2k-multi.template.json
designed-template,template://journalcollage/fan-moodboard,Fan Moodboard,fan-moodboard,Premium,11,Premium candidate,,完整风格模板作为内容订阅价值,generated/template-recipes/fan-moodboard.template.json
designed-template,template://journalcollage/material-remix,Material Remix,material-remix,Premium,11,Premium candidate,,完整风格模板作为内容订阅价值,generated/template-recipes/material-remix.template.json
designed-template,template://journalcollage/play-pop-multi,Play Pop Multi,play-pop,free,6,Premium candidate,复核模板是否包含付费素材,完整风格模板作为内容订阅价值,generated/template-recipes/play-pop-multi.template.json
designed-template,template://journalcollage/play-pop,Play Pop,play-pop,free,14,Free candidate,复核模板是否包含付费素材,单图成品体验入口；复核模板固定素材授权,generated/template-recipes/play-pop.template.json
designed-template,template://journalcollage/romantic-deco-two-photo,Romantic Deco — Two Photo,romantic-deco,Premium,4,Premium candidate,,完整风格模板作为内容订阅价值,generated/template-recipes/romantic-deco-two-photo.template.json
designed-template,template://journalcollage/romantic-deco,Romantic Deco,romantic-deco,Premium,4,Premium candidate,,完整风格模板作为内容订阅价值,generated/template-recipes/romantic-deco.template.json
designed-template,template://journalcollage/soft-archive-multi,Soft Archive Multi,soft-archive,free,6,Premium candidate,复核模板是否包含付费素材,完整风格模板作为内容订阅价值,generated/template-recipes/soft-archive-multi.template.json
designed-template,template://journalcollage/soft-archive,Soft Archive,soft-archive,free,8,Free candidate,复核模板是否包含付费素材,单图成品体验入口；复核模板固定素材授权,generated/template-recipes/soft-archive.template.json
