kind,id,name,group,count,candidate,reason,source,review
"designed-template","template://journalcollage/digital-y2k-ascii","Digital Y2K ASCII","digital-y2k","2","Premium candidate","完整风格模板作为内容订阅价值","generated/template-recipes/digital-y2k-ascii.template.json","需确认"
"designed-template","template://journalcollage/digital-y2k-multi","Digital Y2K Multi","digital-y2k","16","Premium candidate","完整风格模板作为内容订阅价值","generated/template-recipes/digital-y2k-multi.template.json","需确认"
"designed-template","template://journalcollage/fan-moodboard","Fan Moodboard","fan-moodboard","11","Premium candidate","完整风格模板作为内容订阅价值","generated/template-recipes/fan-moodboard.template.json","需确认"
"designed-template","template://journalcollage/material-remix","Material Remix","material-remix","11","Premium candidate","完整风格模板作为内容订阅价值","generated/template-recipes/material-remix.template.json","需确认"
"designed-template","template://journalcollage/play-pop-multi","Play Pop Multi","play-pop","6","Premium candidate","完整风格模板作为内容订阅价值","generated/template-recipes/play-pop-multi.template.json","需确认"
"designed-template","template://journalcollage/play-pop","Play Pop","play-pop","14","Free candidate","单图成品体验入口；复核模板固定素材授权","generated/template-recipes/play-pop.template.json","需确认"
"designed-template","template://journalcollage/romantic-deco-two-photo","Romantic Deco — Two Photo","romantic-deco","4","Premium candidate","完整风格模板作为内容订阅价值","generated/template-recipes/romantic-deco-two-photo.template.json","需确认"
"designed-template","template://journalcollage/romantic-deco","Romantic Deco","romantic-deco","4","Premium candidate","完整风格模板作为内容订阅价值","generated/template-recipes/romantic-deco.template.json","需确认"
"designed-template","template://journalcollage/soft-archive-multi","Soft Archive Multi","soft-archive","6","Premium candidate","完整风格模板作为内容订阅价值","generated/template-recipes/soft-archive-multi.template.json","需确认"
"designed-template","template://journalcollage/soft-archive","Soft Archive","soft-archive","8","Free candidate","单图成品体验入口；复核模板固定素材授权","generated/template-recipes/soft-archive.template.json","需确认"
"basic-layout","template://journalcollage/layout-two-up","two-up","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-stacked","stacked","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-four-grid","four-grid","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-full-frame","full-frame","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-wide-split","wide-split","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-three-columns","three-columns","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-hero-top","hero-top","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-hero-left","hero-left","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-six-grid","six-grid","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
